2014,FL,198.984702568029,21-34
2014,FL,224.084301418126,35-44
2014,FL,283.841808432334,45-54
2014,FL,389.612776627939,55-63
2014,FL,437.814520889233,64-99
2015,FL,248.410159932856,21-34
2015,FL,282.912567017794,35-44
2015,FL,364.365790761749,45-54
2015,FL,509.340886727978,55-63
2015,FL,575.678187601293,64-99
2016,FL,239.288470873151,21-34
2016,FL,271.144714260787,35-44
2016,FL,346.465316161058,45-54
2016,FL,480.456269273929,55-63
2016,FL,541.778165533478,64-99
2017,FL,260.487330574885,21-34
2017,FL,293.675626557252,35-44
2017,FL,372.168129059798,45-54
2017,FL,511.735232196316,55-63
2017,FL,575.691353955943,64-99
2018,FL,312.491073172232,21-34
2018,FL,350.517621541586,35-44
2018,FL,440.345842284307,45-54
2018,FL,600.044272821417,55-63
2018,FL,673.494170735308,64-99
2019,FL,335.938500872461,21-34
2019,FL,374.718364489216,35-44
2019,FL,466.312461143517,45-54
2019,FL,629.123856926455,55-63
2019,FL,704.069768100543,64-99
